Année,T_MOYENNE
1951,12.254850000000031
1952,11.014499999999998
1953,10.64294000000001
1954,12.45843000000002
1955,13.156000000000006
1956,12.181849999999995
1957,10.609770000000026
1958,11.955900000000042
1959,7.825300000000027
1960,15.271500000000003
1961,6.7958000000000425
1962,9.766230000000007
1963,11.443570000000022
1964,10.302850000000037
1965,9.60020000000003
1966,6.236400000000003
1967,8.98132000000004
1968,7.344629999999995
1969,8.167750000000012
1970,10.904700000000048
1971,10.720360000000028
1972,11.17944
1973,11.552549999999997
1974,13.16076000000004
1975,8.578670000000045
1976,11.19207
1977,10.491970000000038
1978,12.821680000000017
1979,10.529570000000035
1980,4.581870000000038
1981,7.172400000000039
1982,10.087580000000004
1983,9.837730000000022
1984,10.857320000000016
1985,8.804960000000051
1986,7.637900000000002
1987,10.669460000000017
1988,11.13793000000004
1989,8.171780000000012
1990,8.08474000000001
1991,10.8236
1992,11.200620000000017
1993,8.584770000000049
1994,10.610960000000034
1995,11.01556000000005
1996,16.17745000000002
1997,11.687800000000038
1998,13.699180000000013
1999,11.872920000000022
2000,12.407280000000014
2001,7.3498200000000224
2002,11.97076000000004
2003,8.320280000000025
2004,12.008100000000011
2005,10.69073000000003
2006,12.43347
2007,8.84704000000005
2008,10.160240000000044
2009,12.071860000000015
2010,10.490200000000016
2011,7.849450000000047
2012,12.650450000000037
2013,11.811820000000012
2014,9.066300000000012
2015,11.971670000000016
2016,13.710530000000006
2017,12.116300000000024
2018,12.285300000000008
2019,11.2817
2020,10.20297000000005
2021,11.461940000000029
2022,12.397180000000048
2023,10.83907000000005
2024,13.274320000000046
2025,8.259500000000003
2026,11.210100000000011
2027,11.192830000000017
2028,10.156980000000033
2029,10.707880000000046
2030,11.92306000000002
2031,8.652700000000038
2032,11.825220000000002
2033,8.448239999999998
2034,12.08200000000005
2035,10.29543000000001
2036,8.646749999999997
2037,10.788170000000036
2038,12.852660000000014
2039,11.317200000000014
2040,13.184230000000014
2041,14.839560000000006
2042,10.704499999999996
2043,13.45657
2044,15.571529999999996
2045,11.50920000000002
2046,13.555840000000046
2047,12.744320000000016
2048,14.079949999999997
2049,10.742800000000043
2050,12.677880000000016
2051,13.73168000000004
2052,14.990380000000016
2053,10.40160000000003
2054,13.491200000000047
2055,10.514200000000017
2056,14.807980000000043
2057,11.764580000000024
2058,11.648950000000012
2059,14.15835000000004
2060,11.496669999999996
2061,14.397520000000045
2062,12.126030000000014
2063,11.672300000000009
2064,15.510700000000044
2065,16.192859999999996
2066,16.089400000000012
2067,12.33910000000003
2068,15.096550000000036
2069,15.036100000000031
2070,15.968230000000004
2071,13.025140000000022
2072,11.014980000000037
2073,10.743220000000008
2074,14.461970000000008
2075,15.49404000000004
2076,13.324640000000043
2077,15.95037000000002
2078,17.018700000000024
2079,12.990560000000016
2080,15.06800000000004
2081,15.677700000000016
2082,13.520200000000044
2083,15.702230000000045
2084,14.721060000000024
2085,16.35925000000003
2086,15.287530000000004
2087,13.30322000000001
2088,15.838070000000016
2089,15.568480000000022
2090,12.814870000000042
2091,15.337670000000005
2092,17.244200000000035
2093,16.127499999999998
2094,17.86343000000005
2095,14.738800000000026
2096,12.784780000000012
2097,12.21514000000002
2098,14.629819999999995
2099,13.410030000000006
2100,19.67285000000004
